,page,doctorate,len_page,female,male,category,count,nobel_field
15346,Raymond Davis Jr.,1,3244,False,True,20th-century_physicists,1,Physics
15347,Henning Brandis,0,1236,False,True,Microbiologists,1,Physiology or Medicine
15348,Watson Davis,1,1935,False,True,20th-century_physicists,1,Physics
15349,Heike Brötz-Oesterhelt,0,1834,True,False,Microbiologists,1,Physiology or Medicine
15350,Richard Davisson,0,1079,False,True,20th-century_physicists,1,Physics
15351,Hans Ernst August Buchner,0,594,False,True,Microbiologists,1,Physiology or Medicine
15352,John M. Dawson,1,1842,False,True,20th-century_physicists,1,Physics
15353,Ferdinand Cohn,0,1130,False,True,Microbiologists,1,Physiology or Medicine
15354,Arthur Jeffrey Dempster,1,1716,False,True,20th-century_physicists,1,Physics
15355,Franz Theodor Doflein,0,657,False,True,Microbiologists,1,Physiology or Medicine
15356,David M. Dennison,0,2384,False,True,20th-century_physicists,1,Physics
15357,Friedrich Fehleisen,0,342,False,True,Microbiologists,1,Physiology or Medicine
15358,Robert Detweiler,0,862,False,True,20th-century_physicists,1,Physics
15359,Carl Flügge,0,1124,False,True,Microbiologists,1,Physiology or Medicine
15360,Martin Deutsch,1,1194,False,True,20th-century_physicists,1,Physics
15361,Carl Friedländer,0,1259,False,True,Microbiologists,1,Physiology or Medicine
15362,Bryce DeWitt,1,1502,False,True,20th-century_physicists,1,Physics
15363,Gustav Giemsa,0,376,False,True,Microbiologists,1,Physiology or Medicine
15364,Robert H. Dicke,1,3958,False,True,20th-century_physicists,1,Physics
15365,Adolf Gottstein,0,376,False,True,Microbiologists,1,Physiology or Medicine
15366,Gerhard Heinrich Dieke,1,707,False,True,20th-century_physicists,1,Physics
15367,Richard Greeff,0,906,False,True,Microbiologists,1,Physiology or Medicine
15368,Peter Gruss,1,2894,False,True,Microbiologists,1,Physiology or Medicine
15369,John A. Dillon,1,708,False,True,20th-century_physicists,1,Physics
15370,Neil Divine,1,1319,False,True,20th-century_physicists,1,Physics
15371,Jörg Hacker,0,1587,False,True,Microbiologists,1,Physiology or Medicine
15372,Hans Georg Haussmann,0,612,False,True,Microbiologists,1,Physiology or Medicine
15373,Philip J. Dolan,0,1259,False,True,20th-century_physicists,1,Physics
15374,Walther Hesse,0,952,False,True,Microbiologists,1,Physiology or Medicine
15375,Thomas Michael Donahue,0,791,False,True,20th-century_physicists,1,Physics
