,page,field,count_female_words,count_male_words,count_nonbinary_words,doctorate,len_page
314,John Flemming,20th-century_economists,0,10,0,1,1045
315,Dominique Foray,20th-century_economists,0,17,2,1,1337
316,William Trufant Foster,20th-century_economists,1,39,7,0,11858
317,Paulo Freire,20th-century_economists,0,5,0,0,235
318,Andreas Freytag,20th-century_economists,0,49,1,0,3835
319,Ragnar Frisch,20th-century_economists,0,7,0,1,988
320,Roman Frydman,20th-century_economists,0,21,0,0,1441
321,Alberto Fuentes Mohr,20th-century_economists,0,15,0,0,1701
322,Enrique Fuentes Quintana,20th-century_economists,0,6,0,1,2323
323,Masahisa Fujita,20th-century_economists,0,13,0,1,1085
324,Xavier Gabaix,20th-century_economists,2,55,2,0,5065
325,Yegor Gaidar,20th-century_economists,0,7,0,1,1670
326,Jordi Galí,20th-century_economists,0,34,3,0,943
327,Juan García Gruber,20th-century_economists,9,0,0,0,1808
328,Alicia García-Herrero,20th-century_economists,0,16,0,0,993
329,Burleigh B. Gardner,20th-century_economists,0,29,1,1,1715
330,Heinrich Gattineau,20th-century_economists,0,39,3,0,1648
331,José Ber Gelbard,20th-century_economists,0,6,0,0,806
332,Ramazan Gençay,20th-century_economists,0,6,0,0,1487
333,Jacques Généreux,20th-century_economists,0,11,0,0,837
334,Gerhard Meidell Gerhardsen (economist),20th-century_economists,0,1,0,0,564
335,Abram Ginzburg,20th-century_economists,0,2,0,0,383
336,Hans Gispen,20th-century_economists,8,0,0,0,1522
337,Rachel Glennerster,20th-century_economists,0,8,0,0,708
338,Truls Glesne,20th-century_economists,3,0,0,1,1091
339,Sherry Glied,20th-century_economists,15,0,1,0,1371
340,Tatyana Golikova,20th-century_economists,0,26,0,1,536
341,Fernando Gomez-Bezares,20th-century_economists,0,13,0,0,2040
342,Richard M. Goodwin,20th-century_economists,0,10,0,0,1304
343,H. Scott Gordon,20th-century_economists,0,42,3,0,3316
344,Clive Granger,20th-century_economists,0,53,1,0,2764
345,José De Gregorio,20th-century_economists,26,0,5,1,2778
346,Stephany Griffith-Jones,20th-century_economists,0,6,1,0,2036
347,Francesco Grillo,20th-century_economists,0,10,0,0,835
348,Curtis Grimm,20th-century_economists,0,10,2,0,1039
349,Vladimir Groman,20th-century_economists,0,12,0,0,573
350,Anatoly Gromyko,20th-century_economists,0,9,0,0,1426
351,Gustav Groß,20th-century_economists,1,73,6,0,2804
352,Fred Gruen,20th-century_economists,0,2,0,1,761
353,Yehuda Grunfeld,20th-century_economists,0,28,1,0,1928
354,Gu Zhun,20th-century_economists,0,21,0,0,2058
355,Eduardo Guardia,20th-century_economists,0,5,0,0,421
356,Stanisław Gucwa,20th-century_economists,0,5,0,0,2534
357,Roger Guesnerie,20th-century_economists,0,13,0,0,3175
358,Trygve Haavelmo,20th-century_economists,0,10,1,0,1260
359,Jacobus Franciscus Haccoû,20th-century_economists,0,6,0,0,919
360,William Thomas Gould Hackett,20th-century_economists,0,11,0,0,1074
361,Paul Haensel,20th-century_economists,0,15,2,0,1868
362,Noel Frederick Hall,20th-century_economists,0,27,0,0,2055
363,"Robert Hall, Baron Roberthall",20th-century_economists,0,2,0,0,607
364,W. M. Q. Halm,20th-century_economists,0,9,0,1,639
365,Carlos Hamilton Vasconcelos Araújo,20th-century_economists,0,2,0,0,797
366,Alan Hamlin,20th-century_economists,0,89,10,0,8870
367,Dag Hammarskjöld,20th-century_economists,0,12,0,0,1364
368,Edgar Hardcastle,20th-century_economists,0,21,6,0,2100
369,Arvid Harnack,20th-century_economists,0,16,1,0,862
370,Hu Harries,20th-century_economists,0,33,1,0,2021
371,"Ralph Harris, Baron Harris of High Cross",20th-century_economists,1,28,2,1,1621
372,C. Lowell Harriss,20th-century_economists,5,47,5,1,4375
373,John Harsanyi,20th-century_economists,0,3,0,0,819
374,Andre Haughton,20th-century_economists,0,7,0,1,1515
375,Fumio Hayashi,20th-century_economists,13,351,33,0,28704
376,Friedrich Hayek,20th-century_economists,24,0,0,0,1603
377,Éva Hegedüs,20th-century_economists,2,20,0,0,1944
378,Farkas Heller,20th-century_economists,0,26,3,0,1171
379,Pieter Hennipman,20th-century_economists,0,6,0,0,1320
380,Felipe Herrera,20th-century_economists,0,12,0,0,1112
381,Ned Herrmann,20th-century_economists,0,21,2,1,1665
382,Frederick Herzberg,20th-century_economists,0,43,1,0,4128
383,Rudolf Hickel,20th-century_economists,0,42,1,0,4233
384,John Hicks,20th-century_economists,0,11,0,0,1549
385,Fred Hirsch,20th-century_economists,0,9,0,0,2137
386,John Hoddinott (economist),20th-century_economists,0,13,0,0,1223
387,Harry Hodson,20th-century_economists,0,13,0,0,861
388,Leif Holbæk-Hanssen,20th-century_economists,0,43,1,0,1569
389,Bernard Hollowood,20th-century_economists,2,0,0,0,576
390,Liv Holmefjord,20th-century_economists,0,19,0,1,3065
391,Bengt Holmström,20th-century_economists,0,3,0,0,565
392,Fritz C. Holte,20th-century_economists,6,0,0,1,1092
393,Susan Howson (economist),20th-century_economists,0,3,0,0,1020
394,Michael Hüther,20th-century_economists,0,2,0,0,323
395,Gerardus Huysmans,20th-century_economists,0,24,1,0,1802
396,Stephen Hymer,20th-century_economists,1,23,1,0,1156
397,Alexandru Iacob (communist),20th-century_economists,7,165,8,0,12835
398,Harold Innis,20th-century_economists,0,9,0,0,609
399,Nikolay Inozemtsev,20th-century_economists,0,20,1,0,1884
400,Kaoru Ishikawa,20th-century_economists,0,7,0,0,516
401,Charles Issawi,20th-century_economists,0,7,0,1,1446
402,Takatoshi Ito,20th-century_economists,0,28,0,1,2025
403,Katsuhito Iwai,20th-century_economists,64,4,1,0,3473
404,"Barbara Ward, Baroness Jackson of Lodsworth",20th-century_economists,0,8,0,1,768
405,Neil H. Jacoby,20th-century_economists,0,61,5,0,3955
406,Mieczysław Jagielski,20th-century_economists,0,1,0,0,863
407,Jang Chyi-lu,20th-century_economists,8,0,0,0,1924
408,Jang Show-ling,20th-century_economists,0,34,3,1,3452
409,Somkid Jatusripitak,20th-century_economists,0,4,0,0,613
410,Olav Harald Jensen,20th-century_economists,0,6,0,0,893
411,John Jewkes (economist),20th-century_economists,7,0,0,0,996
412,Zou Jiayi,20th-century_economists,14,0,1,1,1624
413,Keyu Jin,20th-century_economists,0,4,0,0,738
414,Leif Johansen,20th-century_economists,1,70,2,0,2799
415,Harry Gordon Johnson,20th-century_economists,0,2,0,0,579
416,Tuure Junnila,20th-century_economists,0,11,0,0,1670
417,"Richard Kahn, Baron Kahn",20th-century_economists,2,72,5,1,7087
418,Daniel Kahneman,20th-century_economists,0,22,6,0,3760
419,Nicholas Kaldor,20th-century_economists,0,148,9,0,10790
420,Michał Kalecki,20th-century_economists,0,13,1,0,1928
421,Kálmán Kádas,20th-century_economists,0,5,0,1,873
422,Kazuya Kamiya,20th-century_economists,0,2,0,1,1385
423,Michihiro Kandori,20th-century_economists,0,15,0,0,623
424,Imrich Karvaš,20th-century_economists,0,16,3,0,1302
425,Miguel Kast,20th-century_economists,0,18,0,0,1047
426,N'Famara Keïta,20th-century_economists,0,25,2,1,2017
427,John G. Kemeny,20th-century_economists,0,18,0,0,1344
428,Tom Kemp,20th-century_economists,0,43,0,0,3648
429,Maurice Kendall,20th-century_economists,0,22,0,0,480
430,Charles Kennedy (economist),20th-century_economists,0,15,0,0,1323
431,Jean de Kervasdoué,20th-century_economists,15,273,30,0,25477
432,John Maynard Keynes,20th-century_economists,0,13,1,0,1243
433,John Neville Keynes,20th-century_economists,1,79,1,0,6987
434,Akhtar Hameed Khan,20th-century_economists,86,5,4,0,5103
435,Ra'ana Liaquat Ali Khan,20th-century_economists,0,12,1,0,1281
436,Grigorii Khanin,20th-century_economists,0,22,0,0,2031
437,Khuang Aphaiwong,20th-century_economists,0,1,0,0,591
438,Arne Kinserdal,20th-century_economists,0,4,0,1,1882
439,Nobuhiro Kiyotaki,20th-century_economists,2,18,0,0,854
440,Joop Klant,20th-century_economists,41,2,1,0,1416
441,Rita Klímová,20th-century_economists,0,10,0,1,1005
442,Richard Klophaus,20th-century_economists,0,14,2,0,1803
443,Georg Friedrich Knapp,20th-century_economists,0,2,0,0,302
444,Günther Kohlmey,20th-century_economists,0,9,0,0,522
445,Nikolay Kolosovsky,20th-century_economists,0,39,0,0,3337
446,Nikolai Kondratiev,20th-century_economists,0,30,0,0,2889
447,János Kornai,20th-century_economists,0,24,0,0,1478
